hi	sat	en	pack
मैं कहाँ सो सकता हूँ?	ᱤᱧ ᱚᱠᱟ ᱨᱮᱧ ᱡᱟᱹᱯᱤᱫ ᱫᱟᱲᱮ ᱭᱟᱜᱼᱟ?	Where can I sleep?	Pack 15 — Daily Needs
शौचालय कहाँ है?	ᱯᱟᱭᱠᱷᱟᱱᱟ	Where is the bathroom?	Pack 15 — Daily Needs
मुझे दवा चाहिए	ᱤᱧ ᱨᱟᱱ ᱞᱟᱹᱠᱛᱤ ᱟᱹᱧ ᱠᱟᱱᱟ᱾	I need medicine.	Pack 15 — Daily Needs
इसकी कीमत क्या है?	ᱱᱚᱣᱟ ᱨᱮᱱᱟᱜ ᱫᱟᱢ ᱛᱤᱱᱟᱹᱜ?	How much does this cost?	Pack 15 — Daily Needs
मैं इसे खरीदना चाहता हूँ	ᱤᱧ ᱱᱚᱣᱟ ᱠᱤᱨᱤᱧ ᱥᱟᱱᱟᱹᱧ ᱠᱟᱱᱟ᱾	I want to buy this.	Pack 15 — Daily Needs
मुझे यह नहीं चाहिए	ᱤᱧ ᱱᱚᱣᱟ ᱵᱟᱝ ᱞᱟᱹᱠᱛᱤ ᱟᱹᱧ ᱠᱟᱱᱟ᱾	I don't want this.	Pack 15 — Daily Needs
मुझे एक दो	ᱤᱧ ᱢᱤᱫᱴᱟᱹᱝ ᱮᱢᱟᱹᱧ ᱢᱮ᱾	Give me one.	Pack 15 — Daily Needs
मुझे दो दो	ᱤᱧ ᱵᱟᱨᱭᱟ ᱮᱢᱟᱹᱧ ᱢᱮ᱾	Give me two.	Pack 15 — Daily Needs
क्या आपके पास यह है?	ᱟᱢ ᱴᱷᱮᱱ ᱱᱚᱣᱟ ᱢᱮᱱᱟᱜᱼᱟ?	Do you have this?	Pack 15 — Daily Needs
क्या आप मेरी मदद कर सकते हैं?	ᱟᱢ ᱤᱧ ᱜᱚᱲᱚ ᱣᱟᱹᱧ ᱫᱟᱲᱮ ᱭᱟᱜᱼᱟ?	Can you help me?	Pack 15 — Daily Needs
मेरी तबीयत ठीक नहीं है	ᱤᱧᱟᱜ ᱦᱚᱲᱢᱚ ᱱᱟᱯᱟᱭ ᱵᱟᱹᱱᱩᱜᱼᱟ᱾	I am not feeling well.	Pack 16 — Health Communication
मुझे बुखार है	ᱤᱧ ᱨᱩᱣᱟᱹ ᱦᱮᱡ ᱟᱠᱟᱱᱟ᱾	I have a fever.	Pack 16 — Health Communication
मेरे सिर में दर्द है	ᱤᱧᱟᱜ ᱵᱚᱦᱚᱜ ᱦᱟᱥᱩ ᱭᱮᱫᱤᱧᱟ᱾	I have a headache.	Pack 16 — Health Communication
मेरे पेट में दर्द है	ᱤᱧᱟᱜ ᱞᱟᱡ ᱦᱟᱥᱩ ᱭᱮᱫᱤᱧᱟ᱾	My stomach hurts.	Pack 16 — Health Communication
मेरी छाती में दर्द है	ᱤᱧᱟᱜ ᱠᱚᱲᱟᱢ ᱦᱟᱥᱩ ᱭᱮᱫᱤᱧᱟ᱾	My chest hurts.	Pack 16 — Health Communication
मेरी पीठ में दर्द है	ᱤᱧᱟᱜ ᱫᱮᱭᱟ ᱦᱟᱥᱩ ᱭᱮᱫᱤᱧᱟ᱾	My back hurts.	Pack 16 — Health Communication
मुझे चक्कर आ रहा है	ᱤᱧ ᱵᱚᱦᱚᱜ ᱟᱹᱪᱩᱨ ᱤᱧ ᱠᱟᱱᱟ᱾	I am feeling dizzy.	Pack 16 — Health Communication
मुझे कमजोरी महसूस हो रही है	ᱤᱧ ᱠᱚᱢᱡᱚᱨᱤ ᱵᱩᱡᱷᱟᱹᱣ ᱤᱧ ᱠᱟᱱᱟ᱾	I am feeling weak.	Pack 16 — Health Communication
मेरा खून बह रहा है	ᱤᱧᱟᱜ ᱢᱟᱭᱟᱢ ᱡᱚᱨᱚᱜ ᱠᱟᱱᱟ᱾	I am bleeding.	Pack 16 — Health Communication
सबसे पास का अस्पताल कहाँ है?	ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱥᱩᱨ ᱦᱟᱥᱯᱟᱛᱟᱞ ᱚᱠᱟ ᱨᱮ?	Where is the nearest hospital?	Pack 16 — Health Communication
क्या तुम चल सकते हो?	ᱟᱢ ᱛᱟᱲᱟᱢ ᱫᱟᱲᱮ ᱭᱟᱜ ᱠᱟᱱᱟᱢ?	Can you walk?	Pack 16 — Health Communication
बैठो और आराम करो	ᱫᱩᱲᱩᱵ ᱢᱮ ᱟᱨ ᱡᱤᱨᱟᱹᱣ ᱢᱮ᱾	Sit down and rest.	Pack 16 — Health Communication
यह क्या है?	ᱱᱚᱣᱟ ᱫᱚ ᱪᱮᱫ ᱠᱟᱱᱟ?	What is this?	Pack 17 — School / Education
कृपया इसे पढ़ें	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱱᱚᱣᱟ ᱯᱟᱲᱦᱟᱣ ᱢᱮ᱾	Please read this.	Pack 17 — School / Education
कृपया इसे लिखें	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱱᱚᱣᱟ ᱚᱞ ᱢᱮ᱾	Please write this.	Pack 17 — School / Education
अपना नाम लिखो	ᱟᱢᱟᱜ ᱧᱩᱛᱩᱢ ᱚᱞ ᱢᱮ᱾	Write your name.	Pack 17 — School / Education
कृपया दोबारा समझाएं	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱟᱨᱦᱚᱸ ᱵᱩᱡᱷᱟᱹᱣ ᱢᱮ᱾	Please explain again.	Pack 17 — School / Education
अपने शिक्षक से पूछो	ᱟᱢᱨᱮᱱ ᱢᱟᱪᱮᱛ ᱠᱩᱞᱤ ᱭᱮᱢ᱾	Ask your teacher.	Pack 17 — School / Education
शिक्षक का इंतज़ार करो	ᱢᱟᱪᱮᱛ ᱛᱟᱸᱜᱤ ᱭᱮᱢ᱾	Wait for the teacher.	Pack 17 — School / Education
खेत में जाओ	ᱠᱷᱮᱛ	Go to the field.	Pack 18 — Agriculture / Village
औजार लाओ	ᱦᱟᱹᱛᱤᱭᱟᱹᱨ	Bring the tools.	Pack 18 — Agriculture / Village
पानी लाओ	ᱫᱟᱜ ᱟᱹᱜᱩᱭ ᱢᱮ᱾	Bring water.	Pack 18 — Agriculture / Village
बीज लाओ	ᱡᱟᱝ	Bring the seeds.	Pack 18 — Agriculture / Village
पौधों को पानी दो	ᱫᱟᱨᱮ ᱨᱮ ᱫᱟᱜ ᱫᱩᱞ ᱢᱮ᱾	Water the plants.	Pack 18 — Agriculture / Village
फसलों को मत छुओ	ᱯᱷᱚᱥᱚᱞ ᱟᱞᱚᱢ ᱡᱚᱴᱮᱫᱟ᱾	Don't touch the crops.	Pack 18 — Agriculture / Village
फसल तैयार है	ᱯᱷᱚᱥᱚᱞ ᱛᱮᱭᱟᱨ ᱮᱱᱟ᱾	The crops are ready.	Pack 18 — Agriculture / Village
फसल खराब हो गई है	ᱯᱷᱚᱥᱚᱞ ᱵᱟᱹᱲᱤᱡ ᱮᱱᱟ᱾	The crops are damaged.	Pack 18 — Agriculture / Village
बारिश होने वाली है	ᱫᱟᱜ ᱡᱟᱹᱲᱤ ᱦᱩᱭᱩᱜ ᱞᱟᱹᱜᱤᱫ ᱠᱟᱱᱟ᱾	It is going to rain.	Pack 18 — Agriculture / Village
बारिश हो रही है	ᱫᱟᱜ ᱡᱟᱹᱲᱤ ᱮᱫᱟᱭ᱾	It is raining.	Pack 18 — Agriculture / Village
मवेशियों को लाओ	ᱰᱟᱝᱜᱽᱨᱟ ᱠᱚ ᱟᱹᱜᱩ ᱠᱚᱯᱮ᱾	Bring the cattle.	Pack 18 — Agriculture / Village
जानवर कहाँ हैं?	ᱡᱤᱣ-ᱡᱟᱱᱣᱟᱨ ᱚᱠᱟ ᱨᱮ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ?	Where are the animals?	Pack 18 — Agriculture / Village
जानवर बीमार है	ᱡᱟᱱᱣᱟᱨ ᱮ ᱨᱩᱣᱟᱹ ᱠᱟᱱᱟ᱾	The animal is sick.	Pack 18 — Agriculture / Village
पशु चिकित्सक को बुलाओ	ᱡᱟᱱᱣᱟᱨ ᱰᱟᱠᱛᱟᱨ ᱦᱚᱦᱚ ᱟᱭ ᱢᱮ᱾	Call the veterinarian.	Pack 18 — Agriculture / Village
जानवर के साथ सावधान रहो	ᱡᱟᱱᱣᱟᱨ ᱥᱟᱶ ᱥᱟᱵᱽᱫᱷᱟᱱᱚᱜ ᱢᱮ᱾	Be careful with the animal.	Pack 18 — Agriculture / Village
खेत वहाँ है	ᱠᱷᱮᱛ	The field is over there.	Pack 18 — Agriculture / Village
आपके पिता कहाँ हैं?	ᱟᱢ ᱵᱟᱵᱟ ᱚᱠᱟ ᱨᱮ?	Where is your father?	Pack 19 — Family & Social
आपकी माँ कहाँ हैं?	ᱟᱢ ᱟᱭᱳ ᱚᱠᱟ ᱨᱮ?	Where is your mother?	Pack 19 — Family & Social
आपका बच्चा कहाँ है?	ᱟᱢᱨᱮᱱ ᱜᱤᱫᱽᱨᱟᱹ ᱚᱠᱟ ᱨᱮ?	Where is your child?	Pack 19 — Family & Social
क्या सब ठीक हैं?	ᱪᱮᱫ ᱡᱚᱛᱚ ᱦᱚᱲ ᱱᱟᱯᱟᱭ ᱜᱮ ᱢᱮᱱᱟᱜ ᱯᱮᱭᱟ?	Is everyone okay?	Pack 19 — Family & Social
अपने परिवार के साथ आओ	ᱟᱢᱨᱮᱱ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱥᱟᱶ ᱦᱤᱡᱩᱜ ᱢᱮ᱾	Come with your family.	Pack 19 — Family & Social
मेरे साथ यहाँ इंतज़ार करो	ᱤᱧ ᱥᱟᱶ ᱱᱚᱰᱮ ᱛᱟᱸᱜᱤᱭ ᱢᱮ᱾	Wait here with me.	Pack 19 — Family & Social
अपने परिवार को बताओ	ᱟᱢᱨᱮᱱ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱞᱟᱹᱭ ᱟᱠᱚ ᱢᱮ᱾	Tell your family.	Pack 19 — Family & Social
अपने परिवार को बुलाओ	ᱟᱢᱨᱮᱱ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱦᱚᱦᱚ ᱟᱠᱚ ᱢᱮ᱾	Call your family.	Pack 19 — Family & Social
हम कल आएंगे	ᱟᱵᱚ ᱜᱟᱯᱟ ᱵᱚᱱ ᱦᱤᱡᱩᱜᱼᱟ᱾	We will come tomorrow.	Pack 19 — Family & Social
मैं बाद में आऊँगा	ᱤᱧ ᱛᱟᱭᱚᱢ ᱛᱮᱧ ᱦᱤᱡᱩᱜᱼᱟ᱾	I will come later.	Pack 19 — Family & Social
कल आना	ᱜᱟᱯᱟ ᱦᱤᱡᱩᱜ ᱢᱮ᱾	Come tomorrow.	Pack 19 — Family & Social
सुबह आना	ᱥᱮᱛᱟᱜ ᱨᱮ ᱦᱤᱡᱩᱜ ᱢᱮ᱾	Come in the morning.	Pack 19 — Family & Social
शाम को आना	ᱟᱹᱭᱩᱵ ᱨᱮ ᱦᱤᱡᱩᱜ ᱢᱮ᱾	Come in the evening.	Pack 19 — Family & Social
आज	ᱛᱮᱦᱮᱧ᱾	Today.	Pack 20 — Time
कल (आने वाला)	ᱜᱟᱯᱟ᱾	Tomorrow.	Pack 20 — Time
कल (बीता हुआ)	ᱦᱚᱞᱟ᱾	Yesterday.	Pack 20 — Time
अब	ᱱᱤᱛᱚᱜ᱾	Now.	Pack 20 — Time
अभी	ᱱᱤᱛᱚᱜ᱾	Now.	Pack 20 — Time
बाद में	ᱛᱟᱭᱚᱢ ᱛᱮ᱾	Later.	Pack 20 — Time
पहले	ᱞᱟᱦᱟ ᱨᱮ᱾	Before.	Pack 20 — Time
बाद	ᱛᱟᱭᱚᱢ᱾	After.	Pack 20 — Time
सुबह	ᱥᱮᱛᱟᱜ᱾	Morning.	Pack 20 — Time
दोपहर	ᱛᱤᱠᱤᱱ	Afternoon.	Pack 20 — Time
शाम	ᱟᱹᱭᱩᱵ᱾	Evening.	Pack 20 — Time
रात	ᱧᱤᱸᱫᱟᱹ᱾	Night.	Pack 20 — Time
एक मिनट रुको	ᱢᱤᱫ ᱢᱤᱱᱤᱴ ᱛᱟᱸᱜᱤᱭ ᱢᱮ᱾	Wait a minute.	Pack 20 — Time
कल आओ	ᱜᱟᱯᱟ ᱦᱤᱡᱩᱜ ᱢᱮ᱾	Come tomorrow.	Pack 20 — Time
आज आओ	ᱛᱮᱦᱮᱧ ᱦᱤᱡᱩᱜ ᱢᱮ᱾	Come today.	Pack 20 — Time
बाद में आओ	ᱛᱟᱭᱚᱢ ᱛᱮ ᱦᱤᱡᱩᱜ ᱢᱮ᱾	Come later.	Pack 20 — Time
इसे अभी करो	ᱱᱚᱣᱟ ᱱᱤᱛᱚᱜ ᱠᱚᱨᱟᱣ ᱢᱮ᱾	Do it now.	Pack 20 — Time
इसे कल करो	ᱱᱚᱣᱟ ᱜᱟᱯᱟ ᱠᱚᱨᱟᱣ ᱢᱮ᱾	Do it tomorrow.	Pack 20 — Time
कितना समय?	ᱛᱤᱱᱟᱹᱜ ᱚᱠᱛᱚ?	How long?	Pack 20 — Time
कितने बजे?	ᱛᱤᱱᱟᱹᱜ ᱵᱟᱡᱮ?	What time?	Pack 20 — Time
हम कल मिलेंगे	ᱟᱵᱚ ᱜᱟᱯᱟ ᱵᱚᱱ ᱧᱟᱯᱟᱢᱟ᱾	We will meet tomorrow.	Pack 20 — Time
